	id	f606w_aper_flux	f606w_auto_flux	kron_rad	x	y	ra	dec	pa	eps	fwhm	flag	class_star	f475w_aper_flux	f475w_auto_flux	f475w_aper_mag	f606w_aper_mag	f475w_f606w	f475w_auto_mag	f606w_auto_mag	apcor	f475w_total_mag	f606w_total_mag	id_spec	spec_conf	dis_cen
1276	1277.0	1.784302	5.162329	3.81	3183.6902	3287.7107	226.33005711	1.8101192486	54.84	0.051	3.07	0.0	0.645	0.8309472	2.532184	25.72606642813648	25.319329094303466	0.40673733383301425	24.516261849242078	24.165885802303205	0.9060745	24.40917161939633	24.002434285563314	-99.0	0.0	443.49581783383246
1281	1282.0	2.482691	6.693861	3.67	2818.4099	3291.3372	226.33407923	1.8101591712	-26.55	0.071	2.85	0.0	0.645	1.183487	3.358697	25.342091270529206	24.96069332530384	0.3813979452253662	24.209572934101924	23.883808275344375	0.9036315	24.099551338432715	23.71815339320735	-99.0	0.0	237.49914587004332
1295	1296.0	1.531768	5.695648	4.52	3088.5635	3333.0518	226.33110456	1.8106182562	69.47	0.128	3.63	0.0	0.645	0.6988197	2.794959	25.914087151464113	25.485017518791242	0.4290696326728707	24.409061396281427	24.059142146558877	0.916447	24.31432978100245	23.88526014832958	12.0	1.0	339.27622106195423
1297	1298.0	4.320185	11.33534	3.52	2841.7334	3334.1284	226.33382241	1.8106301118	13.69	0.064	2.79	0.0	0.645	2.073638	5.328459	24.733167642919902	24.3592441383106	0.37392350460930146	23.708495928916275	23.311913622035252	0.900714	23.594963211748507	23.221039707139205	4.0	1.0	196.95381348927987
1302	1303.0	4.49579	12.07583	3.56	2871.0159	3374.5764	226.33349998	1.8110752638	-40.72	0.074	2.72	0.0	0.645	2.230654	5.926056	24.653919471359117	24.315984957549446	0.337934513809671	23.593085622109516	23.243207523691247	0.9015620000000001	23.480574617897563	23.142640104087892	3.0	1.0	165.28097343045886
1314	1315.0	1.025308	4.329095	4.24	3305.8062	3373.8967	226.32871248	1.8110677693	56.16	0.022	3.94	0.0	0.644	0.4859516	1.952314	26.30851745904417	25.920864135039054	0.3876533240051181	24.798625828481295	24.357007209223703	0.91278	24.699541117609243	24.311887793604125	-99.0	0.0	518.0806100611178
1317	1318.0	1.828467	5.128554	4.15	3019.7759	3378.3396	226.33186198	1.8111166763	44.46	0.155	2.87	0.0	0.645	0.8589838	2.423631	25.690037566664476	25.29278218340266	0.39725538326181464	24.563833752995674	24.17301266828461	0.91150875	24.46323585801424	24.065980474752426	-99.0	0.0	256.97645505010786
1327	1328.0	2.692548	8.33653	4.04	3194.5667	3413.564	226.32993734	1.8115043341	24.57	0.171	2.96	0.0	0.645	1.258216	3.650384	25.27561199111484	24.872591364504554	0.40302062661028515	24.11915361946898	23.645536706572972	0.9099550000000001	24.016703408692283	23.613682782081998	1.0	1.0	400.0966424937353
1328	1329.0	4.877519	15.82774	3.69	2675.2559	3424.4771	226.3356555	1.8116244516	-63.76	0.032	2.96	0.0	0.645	2.389474	7.284088	24.579244226749957	24.22750257542352	0.3517416513264351	23.369062040195423	22.94945273110043	0.9039805	23.25945969593655	22.907718044610114	9.0	1.0	171.4808429748642
1354	1355.0	7.394545	22.43392	3.51	2832.8848	3495.3928	226.33391984	1.8124049167	-61.39	0.048	2.75	0.0	0.645	3.568248	10.57853	24.143862422392974	23.77572135946475	0.368141062928224	22.963936694940056	22.570737082914782	0.900502	22.85014839923371	22.482007336305486	5.0	1.0	39.66082218373683
1362	1363.0	2.650829	6.55457	3.5	2685.165	3510.1038	226.3355464	1.8125668215	-23.01	0.03	2.61	0.0	0.645	1.296463	3.231895	25.24309968282301	24.889545717211668	0.35355396561134356	24.251356893305935	23.90663948524087	0.90029	24.137312958884543	23.7837589932732	8.0	1.0	127.60645734887423
1364	1365.0	9.291564	35.03687	3.5	2777.0237	3545.8999	226.33453493	1.8129607748	-7.97	0.193	3.19	0.0	0.645	4.452679	16.51476	23.90344653162717	23.52777794337964	0.3756685882475317	22.48031933322888	22.086686745589557	0.90029	22.36627539880749	21.990606810559957	6.0	1.0	38.42822025504157
1387	1388.0	2.846081	6.809712	3.5	2662.4324	3604.4387	226.33579671	1.8136050282	-12.6	0.147	2.68	0.0	0.645	1.3283	3.164811	25.216759568386717	24.812381859933232	0.40437770845348453	24.27413055148462	23.865178137786195	0.90029	24.16008661706323	23.755708908609744	10.0	1.0	167.1046977260065
1388	1389.0	1.511406	4.040748	3.97	3086.8179	3589.8418	226.33112377	1.8134443722	45.84	0.137	2.9	0.0	0.645	0.7628046	1.932662	25.818966741645728	25.499547145116768	0.31941959652895946	24.809610230901455	24.431845583384863	0.9088665	24.705860470938678	24.38644087440972	-99.0	0.0	282.1115674735793
1391	1392.0	4.717161	13.33713	3.52	2720.426	3611.1274	226.33515813	1.8136786409	21.46	0.072	2.78	0.0	0.645	2.175997	6.078606	24.680854269314636	24.263798251818255	0.41705601749638177	23.56549001395676	23.135344039103728	0.900714	23.451957296788994	23.03490127929261	7.0	1.0	122.7431799419014
1411	1412.0	1.895359	5.138351	3.9	3184.2114	3662.3484	226.33005136	1.8142423443	-20.4	0.048	2.66	0.0	0.645	0.8857408	2.287179	25.656733374737836	25.25377129543707	0.40296207930076733	24.62674961289265	24.170940581160682	0.907645	24.52153966181739	24.11857758251662	-99.0	0.0	396.028040582444
1431	1432.0	3.624828	11.2859	4.08	3065.606	3742.3855	226.33135733	1.8151232024	12.7	0.043	2.92	0.0	0.645	1.741109	5.327337	24.922935098891447	24.549781490265644	0.3731536086258025	23.708724573688798	23.316659505411398	0.91052	23.60694829798441	23.233794689358607	2.0	1.0	332.0630889441642
1438	1439.0	4.042546	9.855587	3.5	2602.5645	3754.6152	226.33645592	1.8152578067	4.71	0.049	2.54	0.0	0.645	1.888284	4.486903	24.834831716888857	24.431362573926503	0.40346914296235425	23.895133297874526	23.463793759950725	0.90029	23.781089363453134	23.37762022049078	13.0	1.0	307.63099704171566
1517	1518.0	1.290905	4.042323	4.29	2503.9062	3943.1025	226.33754225	1.8173322126	-17.91	0.063	3.16	0.0	0.645	0.5864892	1.880392	26.10434995215157	25.6707642926567	0.43358565949487016	24.83937901289055	24.431422468322744	0.9134862499999999	24.74113404948997	24.307548389995098	-99.0	0.0	516.001127938554
1522	1523.0	5.853733	15.88775	3.5	2594.6299	3958.6226	226.33654328	1.8175030188	15.69	0.151	2.71	0.0	0.645	2.676407	7.361665	24.456119607292575	24.029417726138867	0.4267018811537078	23.357559873621675	22.94534400647387	0.90029	23.243515939200282	22.816814058046575	11.0	1.0	481.45218732862776
