	id	f606w_aper_flux	f606w_auto_flux	kron_rad	x	y	ra	dec	pa	eps	fwhm	flag	class_star	f475w_aper_flux	f475w_auto_flux	f475w_aper_mag	f606w_aper_mag	f475w_f606w	f475w_auto_mag	f606w_auto_mag	apcor	f475w_total_mag	f606w_total_mag	id_spec	spec_conf	dis_cen
1221	1222.0	0.8563965	2.573598	4.31	2276.8787	3142.5974	226.34004205	1.808522206	23.0	0.035	3.09	0.0	0.644	0.3030262	1.059545	26.82129955066246	26.116312790721533	0.7049867599409261	25.462201484035475	24.92164822401454	0.91376875	25.36429223785038	24.659305477909452	-99.0	0.0	659.4075512478759
1223	1224.0	1.466419	2.453434	3.5	2963.8201	3145.3608	226.33247812	1.8085526172	-35.4	0.057	2.15	0.0	0.645	0.7463742	1.289669	25.842608453269413	25.53235480242894	0.3102536508404725	25.248804348126296	24.97356405128056	0.90029	25.134760413704903	24.82450676286443	-99.0	0.0	412.5588683115176
1238	1239.0	0.8145865	3.471538	5.08	2226.8113	3193.1255	226.34059335	1.8090782935	39.46	0.104	4.3	0.0	0.643	0.3880824	1.659497	26.552690131466132	26.17065697919272	0.3820331522734115	24.97505882090528	24.59669519131456	0.9234633333333334	24.888607961393202	24.50657480911979	-99.0	0.0	674.078162904904
1245	1246.0	0.7721827	2.773062	4.95	2941.6287	3230.8987	226.33272246	1.8094940081	-79.38	0.119	3.19	0.0	0.644	0.3727712	1.109853	26.596394120651855	26.22869983136779	0.36769428928406356	25.411836349241785	24.84060105094097	0.92173	25.32334565653231	24.955651367248247	-99.0	0.0	325.0594785756139
1257	1258.0	0.6827832	2.928204	4.22	3487.7307	3256.6343	226.32670931	1.8097772195	55.66	0.093	4.33	0.0	0.644	0.3530004	2.922179	26.65556200623516	26.36229293329373	0.2932690729414311	24.360732961480657	24.781496676113935	0.9124975	24.261312169678124	23.968043096736693	-99.0	0.0	729.0096720062429
1308	1309.0	1.369184	3.659291	4.4	2731.1357	3358.957	226.33504021	1.8109033666	-16.52	0.083	2.9	0.0	0.645	0.6750313	1.77382	25.951690223099746	25.606845461449176	0.3448447616505703	24.90272613174121	24.5395076311967	0.91504	24.806326329747705	24.461481568097135	-99.0	0.0	187.79493689117433
1311	1312.0	0.7495529	2.412491	4.74	2824.1006	3368.1035	226.33401657	1.811004028	-73.57	0.142	3.32	0.0	0.644	0.3066215	0.7572183	26.808493490273005	26.260994278062043	0.5474992122109619	25.82694724702885	24.991835745382836	0.9190265000000001	25.73526733299642	25.187768120785456	-99.0	0.0	161.13048223083055
1360	1361.0	1.450053	3.455447	3.5	3132.6978	3496.385	226.33061858	1.8124158277	-36.54	0.017	2.76	0.0	0.645	0.7166285	1.628947	25.886764810315196	25.54454030960759	0.342224500707605	24.99523261455407	24.60173940974293	0.90029	24.881188680132677	24.538964179425072	-99.0	0.0	322.91780106746955
1368	1369.0	1.530686	3.7726	3.53	2927.2629	3519.8979	226.33288064	1.8126746085	-85.48	0.113	2.82	0.0	0.645	0.7078419	1.568677	25.90015933326503	25.485784724843924	0.41437460842110596	25.036166177614263	24.506398098978615	0.900926	24.922888978836927	24.50851437041582	-99.0	0.0	116.19498348022607
1423	1424.0	0.6716887	2.496442	4.57	2860.363	3752.6086	226.33361727	1.8152357179	22.69	0.179	3.85	0.0	0.643	0.3657998	1.329237	26.616891340772025	26.380079894732372	0.23681144603965265	25.215993946033375	24.954696298709298	0.91703325	25.121956652792207	24.885145206752554	-99.0	0.0	229.16639932819538
1459	1460.0	1.008152	2.729674	4.45	2857.2356	3796.9641	226.33365171	1.8157238766	-15.58	0.113	2.8	0.0	0.645	0.457543	1.14701	26.373920211451924	25.939184959943006	0.43473525150891845	25.376081989410114	24.857723042155513	0.91562625	25.280377576728338	24.84564232521942	-99.0	0.0	272.1184136858437
1513	1514.0	1.254814	2.588992	3.5	2265.4653	3924.2007	226.34016774	1.8171241842	-21.02	0.101	2.49	0.0	0.646	0.7423216	1.525342	25.84851975551467	25.701551611274535	0.14696814424013382	25.066581928398556	24.915173228838682	0.90029	24.952537993977163	24.80556984973703	-99.0	0.0	674.1246868823972
1546	1547.0	0.8835717	3.042782	4.23	2430.9102	4035.9143	226.33834602	1.8183536567	-35.61	0.23	3.26	0.0	0.644	0.4171105	1.381869	26.4743721936025	26.082395506590302	0.3919766870121961	25.173832814390313	24.73982290384703	0.91263875	25.074580076056915	24.68260338904472	-99.0	0.0	634.0415059004418
